Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
數學及英文導師 Math and English Tutor/Teacher (大角咀/奧運站),BRAINKEY EDUCATION LIMITED,"Full Time, Graduate",HKD ($),17K - 25K per month,2024-09-05
Library Assistant II in Library (Access Services Section) (Ref: 2400924),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),21.4K per month,2024-09-03
Associate Officer – Finance & Accounting,HKR International Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
Project Assistant in Department of Curriculum and Instruction (Ref: 2400936),The Education University of Hong Kong,"Full Time, Graduate",HKD ($),21.4K per month,2024-08-28
Sales Assistant,Convergint (Hong Kong) Limited,"Full Time, Graduate",HKD ($),15K - 18K per month,2024-08-31
Assistant,Alles Compliance Consulting Limited,"Part Time, Temporary",HKD ($),70 - 90 per hour,2024-09-19
Analyst Programmer Trainee,Togo Pacific Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-15
Quality Controller Assistant,Tung Chun Management Services Co. Limited,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-19
Accounts & Administrative Assistant,TUVE Limited,"Full Time, Graduate",HKD ($),15K - 16K per month,2024-08-27
2024/25Wealth Management Internship,Roy Financial Consulting,"Job at Greater Bay Area, Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-19
HNW Wealth Management Manager,Roy Financial Consulting,"Job at Greater Bay Area, Full Time, Graduate",HKD ($),15K - 50K per month,2024-09-19
FB and IG editor,Hong Kong Christian Cancer Care Association,"Part Time, Temporary",HKD ($),50 - 55 per hour,2024-09-16
Assistant Executive/ Executive Order Management Apparel & Accessories,World Cat Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-17
啟德Sogo女裝鞋店務員,Grandioso Group Limited,"Part Time, Temporary",HKD ($),65 - 80 per hour,2024-09-19
Part-time Accounting Assistant,Maradebbie & Partners (Practising),"Part Time, Temporary",HKD ($),80 - 95 per hour,2024-08-31
Customer Services Assistant,Shout Limited,"Part Time, Temporary",HKD ($),100 per hour,2024-09-19
TRAINEE: Technical Specialist for Asia Sourcing Function,Societe Generale - Hong Kong Branch,"Full Time, Graduate",HKD ($),30K - 34K per month,2024-09-19
(Part Time / Freelance) 3D Origami Tutor 兼職 三角摺紙 導師,Life Learn Limited,"Part Time, Graduate",HKD ($),200 per hour,2024-09-19
Associate Systems Analyst,HKR International Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-18
Procurement and Supply Chain Officer,Earth Products China Limited,"Full Time, Graduate",HKD ($),23K - 28K per month,2024-09-17
"Pre-Sales Engineer, IT Solution",ICO Limited,"Full Time, Graduate",HKD ($),18K - 20K per month,2024-09-18
机器学习算法研究员,上海明汯投资管理有限公司,"Full Time, Graduate",CNY (¥),35K - 50K per month,2024-09-18
机器学习开发工程师,上海明汯投资管理有限公司,"Full Time, Graduate",CNY (¥),35K - 50K per month,2024-09-18
Blockchain Developer,Amber AM Limited,"Full Time, Graduate",HKD ($),25K - 28K per month,2024-09-14
量化研究员,上海明汯投资管理有限公司,"Full Time, Graduate",CNY (¥),35K - 50K per month,2024-09-18
量化开发工程师,上海明汯投资管理有限公司,"Full Time, Graduate",CNY (¥),35K per month,2024-09-18
Sales & Marketing Assistant,Tung Chun Management Services Co. Limited,"Full Time, Graduate",HKD ($),16K - 18K per month,2024-09-18
臨時推廣員 (工展會),Tung Chun Management Services Co. Limited,"Part Time, Temporary",HKD ($),65 - 70 per hour,2024-09-18
(Part Time / Freelance) HairStyling Tutor 兼職 髮型 導師,Life Learn Limited,"Part Time, Graduate",HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) HairDye Tutor 兼職 染髮 導師,Life Learn Limited,"Part Time, Graduate",HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) K-Pop Dance Tutor 兼職 K-Pop 排舞導師,Life Learn Limited,"Part Time, Graduate",HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) Street Dance Tutor 兼職 街舞 排舞導師,Life Learn Limited,"Part Time, Graduate",HKD ($),200 - 350 per hour,2024-09-18
(Part Time / Freelance) Breaking Tutor 兼職 霹靂舞 導師 排舞導師,Life Learn Limited,"Part Time, Graduate",HKD ($),200 - 350 per hour,2024-09-18
