Titles,Companies,Currencies,Salaries,Closing Dates
Assistant Property Officer - Tai Tam,Protech Property Management Limited,HKD ($),20K - 22K per month,2024-09-15
"中小學導師 (6天) (石硤尾白田)/Secondary School and Primary School Tutor (6ays) (Pak Tin Estate,Shek Kip Mei)",Bright Union International Limited,HKD ($),19K per month,2024-08-31
"中小學導師 (5.5天) (大埔太和)/Secondary School and Primary School Tutor (5.5ays) (Tai Wo, Tai Po)",Bright Union International Limited,HKD ($),15K - 16K per month,2024-08-31
"中小學導師 (6天) (沙田馬鞍山)/Secondary School and Primary School Tutor (6days) (Ma On Shan, Shatin)",Bright Union International Limited,HKD ($),20K per month,2024-08-31
"中小學導師 (5/6天) (觀塘安達)/Secondary School and Primary School Tutor (5 /6days) (On Tat Estate, Kwun Tong)",Bright Union International Limited,HKD ($),18.5K per month,2024-08-31
Assistant Safety Officer,Quon Hing Concrete Co Ltd,HKD ($),18K - 22K per month,2024-09-14
Clubhouse Assistant,Protech Property Management Limited,HKD ($),15.5K - 18K per month,2024-09-15
Account Executive,McCANN-Erickson (HK) LTD,HKD ($),15K - 16K per month,2024-09-13
Senior Education & Project Office/ Education & Project Officer (Ref.: SEPO/ EPO_Jijis2408),Green Power Limited,HKD ($),Negotiable,2024-09-15
Business Analyst,Global Sharp International Limited,HKD ($),23K - 27K per month,2024-08-31
初中導師(6天) (粉嶺)/ S1-S3 Secondary School Tutor (6days) (Fanling),Bright Union International Limited,HKD ($),23.5K per month,2024-08-30
Graduate Engineer,Far East Consulting Engineers Limited,HKD ($),Negotiable,2024-09-14
Quality Assurance Analyst (18k - 22k),FinIq Consulting Pte Ltd,HKD ($),18K - 22K per month,2024-09-14
HR & Admin. Assistant,Murata Power Solutions (Hong Kong) Limited,HKD ($),15K - 20K per month,2024-08-31
Options Trader (Full-time),Midas Technologies,CNY (¥),500 - 1K per day,2024-09-14
Project Officer in Department of Curriculum and Instruction (Ref: 2400923),The Education University of Hong Kong,HKD ($),32K per month,2024-08-23
Assistant IT Manager in Office of the Chief Information Officer (Ref: 2400920),The Education University of Hong Kong,HKD ($),32K per month,2024-08-23
Senior Research Assistant in Academy for Educational Development and Innovation (Ref: 2400887),The Education University of Hong Kong,HKD ($),29.1K per month,2024-08-22
Secretary,MCM Wealth Management Hong Kong Limited,HKD ($),14K - 16K per month,2024-09-14
Research Assistant I in Academy for Educational Development and Innovation (Ref: 2400880),The Education University of Hong Kong,HKD ($),21.4K per month,2024-08-22
Research Assistant I in Department of Mathematics and Information Technology (Ref: 2400866),The Education University of Hong Kong,HKD ($),21.4K per month,2024-08-23
Research Assistant I/II in Department of Mathematics and Information Technology (Ref: 2400858),The Education University of Hong Kong,HKD ($),21.4K per month,2024-08-23
Account Executive,The Tank Limited,HKD ($),Negotiable,2024-09-14
"統籌主任(教學) (6日) (九龍城啟晴)/ Centre Coordinator(Teaching) (6 DAYS) (Kai Ching, Kowloon City)",Bright Union International Limited,HKD ($),21K - 22K per month,2024-08-31
"初中導師 (5.5/6日) (九龍城啟晴)/ Secondary School Tutor (5.5/6 Days) (Kai Ching, Kowloon City)",Bright Union International Limited,HKD ($),19K - 21K per month,2024-08-30
