Titles,Companies,Currencies,Salaries,Closing Dates
Quantitative Analyst,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Junior Trader,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Business Development Executive,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Programmer Analyst,Ctech Group Limited,HKD ($),40K - 60K per month,2024-09-17
HR & Administration Officer/ Assistant Manager,PROMO X LIMITED,HKD ($),16K - 18K per month,2024-08-26
Assistant Digital Engineer - Smart Construction,SOCAM Development Limited,HKD ($),Negotiable,2024-08-31
Assistant Engineer (Telecom),SHUN HING SYSTEMS INTEGRATION COMPANY LIMITED,HKD ($),18K - 20K per month,2024-09-17
Intern - Equity Research Department,CMB International Capital Corporation Limited,HKD ($),Negotiable,2024-09-15
Assistant Engineer (Mechanical),SHUN HING SYSTEMS INTEGRATION COMPANY LIMITED,HKD ($),18K - 20K per month,2024-09-17
Assistant Human Resources Officer,SHUN HING SYSTEMS INTEGRATION COMPANY LIMITED,HKD ($),17K - 19K per month,2024-09-17
"Part Time Trainee Engineer, Building Services",Benchmark Consulting Engineers Ltd,HKD ($),90 per hour,2024-09-15
Assistant Engineer (Electrical),SHUN HING SYSTEMS INTEGRATION COMPANY LIMITED,HKD ($),18K - 20K per month,2024-09-17
"Part-time Associate, Human Resources",Shanghai Commercial Bank Limited,HKD ($),Negotiable,2024-08-31
Project Assistant (5-Day Work),Centaline Group Management Limited,HKD ($),18K - 20K per month,2024-09-15
Part Time Administrative Assistant,DLC Advisory Services,HKD ($),Negotiable,2024-09-17
MPFA Student Ambassadors for 2024-25,Mandatory Provident Fund Schemes Authority,HKD ($),Negotiable,2024-08-26
Management Trainee (Oversea),Bright Future Pharmaceutical Laboratories Limited,HKD ($),12K - 20K per month,2024-09-01
Junior Programmer (Machine Learning / AI),Ctech Group Limited,HKD ($),40K - 60K per month,2024-09-17
Engineer,Mitochon Technology Limited,HKD ($),18K - 24K per month,2024-09-10
Project Intern - Derivatives Structuring,Huatai Financial Holdings (Hong Kong) Limited,HKD ($),11K - 12K per month,2024-09-17
Business Trainee,i-Control Limited,HKD ($),Negotiable,2024-09-13
Management Trainee,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Program Officer,Acme Pro Limited,HKD ($),Negotiable,2024-09-17
Field Service Engineer,Vastec Medical Limted,HKD ($),Negotiable,2024-09-17
Engineer,Shinryo (Hong Kong) Limited,HKD ($),Negotiable,2024-09-17
Business Analyst - Graduate Program (Various Opportunities),Fides Solutions Limited,HKD ($),20K - 23K per month,2024-09-17
Business Analyst / Data Analyst,Fides Solutions Limited,HKD ($),18K - 19K per month,2024-09-17
Junior Developer / Programmer (Business Application),Fides Solutions Limited,HKD ($),20K - 23K per month,2024-09-17
Business Development Executive,HKCOLO Limited,HKD ($),19K - 22K per month,2024-09-17
Admin Intern,Magic Compass Securities Limited,HKD ($),60 - 80 per hour,2024-08-26
Management Trainee / Internship Program (2024),YEE CHUN KEI KINGSLEY,HKD ($),18K - 20K per month,2024-08-31
Assistant (Business Development),Midland Realty (Strategic) Limited,HKD ($),15K - 16K per month,2024-09-17
Accounting Officer,Cornerstone EV Charging Service Limited,HKD ($),18K - 22K per month,2024-09-17
(荃灣) 兼職助教/導師 Teaching Assistant,Intellectual Education Centre,HKD ($),70 - 140 per hour,2024-09-17
"小學導師 (5.5天) (屯門友愛)/ Primary school tutor (5.5 Days) (Yau Oi, Tuen Mun)",Bright Union International Limited,HKD ($),17K per month,2024-09-03
Business Analyst,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Operation Officer,Ctech Group Limited,HKD ($),30K - 50K per month,2024-09-17
Assistant Officer (Property Administration),Midland Realty (Strategic) Limited,HKD ($),16K - 18K per month,2024-09-16
Surveying Assistant (Part-time),Midland Realty (Strategic) Limited,HKD ($),50 - 55 per hour,2024-09-15
Marketing Assistant (E-Marketing),Zinnia Marketing & PR Consultants Limited,HKD ($),60 - 90 per hour,2024-09-16
Graduate Engineer,APT Engineering Consultant Limited,HKD ($),24K per month,2024-09-14
"Full time Chinese tutor(廣東話母語, 年齡18-30)(需要DSE中文5或以上或同等資歷)",Star Ace Education,HKD ($),30K - 80K per month,2024-09-10
"中小學導師 (5/6天) (觀塘安達)/Secondary School and Primary School Tutor (5 /6days) (On Tat Estate, Kwun Tong)",Bright Union International Limited,HKD ($),18.5K per month,2024-08-31
Counter Service Officer Trainee / Teller Trainee,Chong Hing Bank Limited,HKD ($),17K per month,2024-09-10
Administrative Assistant,Grace Christian Academy,HKD ($),14K - 18K per month,2024-09-15
"小學導師 (6日) (沙田馬鞍山)/Primary School Tutor (6 DAYS) (Ma On Shan, Shatin)",Bright Union International Limited,HKD ($),17.5K per month,2024-08-31
Assistant Safety Officer,Quon Hing Concrete Co Ltd,HKD ($),18K - 22K per month,2024-09-14
"小學導師 (6日) (沙田禾輋)/Primary School Tutor (6 DAYS) (Wo Che, Shatin)",Bright Union International Limited,HKD ($),18K per month,2024-08-31
"小學導師(5/6天) (觀塘安達)/ Primary School Tutor (5/6 DAYS) (On Tat Estate, Kwun Tong)",Bright Union International Limited,HKD ($),21K per month,2024-08-31
"中小學導師 (5/6天) (葵涌石蔭)/Secondary School and Primary School Tutor (5/6days) (Shek Yam, Kwai Chung)",Bright Union International Limited,HKD ($),18.5K per month,2024-08-31
中小學導師 (5-6天) (天水圍)/Secondary School and Primary School Tutor (5-6 days) (Tin Shui Wai),Bright Union International Limited,HKD ($),17K - 18K per month,2024-08-31
中小學導師 (6天) (屯門市中心)/Secondary School and Primary School Tutor(6 days) (Tuen Mun Town Centre)),Bright Union International Limited,HKD ($),17K - 18K per month,2024-08-31
"中小學導師 (6天) (石硤尾白田)/Secondary School and Primary School Tutor (6ays) (Pak Tin Estate,Shek Kip Mei)",Bright Union International Limited,HKD ($),19K per month,2024-08-31
Clubhouse Assistant,Protech Property Management Limited,HKD ($),15.5K - 18K per month,2024-09-15
